event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Pénurie alimentaire possible $onOrAt $market,L'analyse des renseignements obtenus à partir des communications interceptées et d'autres sources suggère qu'une pénurie alimentaire est susceptible de survenir sur le marché d'ici quelques semaines.,Augmentation des prix des denrées alimentaires et réduction de la stabilité du marché en cas de pénurie.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Pénurie alimentaire probable $onOrAt $market,L'analyse des renseignements obtenus à partir des communications interceptées et d'autres sources suggère qu'une pénurie alimentaire est presque certaine de survenir sur le marché d'ici quelques semaines.,Augmentation des prix des denrées alimentaires et réduction de la stabilité du marché en cas de pénurie.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Pénurie alimentaire probable $onOrAt $market,Ce rapport indique qu'une pénurie alimentaire est presque certaine de survenir sur le marché et conseille les unités de la région sur les mesures qui pourraient être prises pour maximiser son impact.,"Flotte de secours susceptible d'être envoyée depuis un système stellaire proche ; l’intercepter prolongerait la pénurie et déstabiliserait davantage le marché.

Vendre de la nourriture sur le marché noir va accroître les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Pénurie alimentaire probable $onOrAt $market,Ce rapport indique qu'une pénurie alimentaire est presque certaine de se produire sur le marché et conseille aux unités de se tenir prêtes à fournir de l'aide.,Livrer rapidement suffisamment de nourriture au marché réduira la durée et l’impact de la pénurie.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Pénurie alimentaire $onOrAt $market,"Le rapport discute de la pénurie alimentaire sur le marché et fournit une perspective équilibrée, mais ne parvient pas à identifier une cause spécifique. Le coupable le plus probable semble être une erreur en cascade dans un système logistique en détérioration.","Augmentation des prix des aliments sur le marché ou sur le marché.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.
Flotte de secours susceptible d'être envoyée depuis un système stellaire proche.

Impact accru sur la réputation de la vente de nourriture. Vendre de la nourriture sur le marché noir va accroître les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Pénurie alimentaire critique $onOrAt $market,Le rapport indique que la pénurie alimentaire sur le marché est inhabituellement grave et accuse l'administration de MarketFaction d'avoir précipité une crise humanitaire.,"Augmentation des prix des aliments sur le marché ou sur le marché.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.

Flotte de secours susceptible d'être envoyée depuis un système stellaire proche.

Impact accru sur la réputation de la vente de nourriture. Vendre de la nourriture sur le marché noir va accroître les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Pénurie alimentaire présumée $onOrAt $market,Le rapport nie catégoriquement toute rumeur de pénurie alimentaire sur le marché et encourage les citoyens responsables à faire leur part en dénonçant toute personne soupçonnée de répandre des rumeurs malveillantes.,"Augmentation des prix des aliments sur le marché ou sur le marché.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.

Flotte de secours susceptible d'être envoyée depuis un système stellaire proche.

Impact accru sur la réputation de la vente de nourriture. Vendre de la nourriture sur le marché noir va accroître les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Pénurie alimentaire $onOrAt $market : les secours s'organisent sur $reliefMarket,L'analyse du trafic de communication indique qu'une flotte de secours est en cours d'organisation sur $reliefMarket dans $reliefSystem et sera envoyée à $market dans un avenir proche.,"La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation sur le marché $ se déstabilisera encore davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Pénurie alimentaire $onOrAt $market : les secours s'organisent sur $reliefMarket,Le rapport indique qu'une flotte de secours est en cours d'organisation sur $reliefMarket dans $reliefSystem et qu'elle devrait démarrer d'ici quelques semaines.,"La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation sur le marché $ se déstabilisera encore davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Pénurie alimentaire $onOrAt $market : les secours s'organisent sur $reliefMarket,Le rapport indique qu'une flotte de secours est en cours d'organisation sur $reliefMarket dans $reliefSystem et qu'elle devrait démarrer d'ici quelques jours. Il est conseillé aux unités à proximité de s’assurer que la flotte arrive à destination en toute sécurité.,"La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation sur le marché $ se déstabilisera encore davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,Pénurie alimentaire $onOrAt $market : secours envoyés depuis $reliefMarket,Une flotte de secours est en cours depuis $reliefMarket dans le système $reliefSystem et devrait arriver dans $marketSystem $eta.,"La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation sur le marché $ se déstabilisera encore davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Pénurie alimentaire $onOrAt $market : les conditions se détériorent,"Bien qu'il y ait eu au début des spéculations selon lesquelles un monde voisin pourrait être en mesure d'envoyer de l'aide, il semble qu'aucune aide de ce type ne soit prévue.",Troubles augmentés de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Pénurie alimentaire $onOrAt $market : la flotte de secours refoulée,"La flotte de secours de $reliefMarket a été attaquée alors qu'elle se dirigeait vers $market, a subi des pertes importantes et a été contrainte de rebrousser chemin. La pénurie alimentaire persiste sans relâche.",Troubles augmentés de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Pénurie alimentaire $onOrAt $market : la flotte de secours est arrivée,La flotte de secours de $reliefMarket est arrivée et la pénurie alimentaire de $onOrAt $market est terminée.,"Troubles augmentés de $stabilityPenaltyEnd.

Les prix des aliments $onOrAt $market sont revenus à leurs niveaux normaux.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Pénurie alimentaire $onOrAt $market : flotte de secours perdue,La flotte de secours de $reliefMarket n'est pas arrivée à destination et la pénurie alimentaire persiste.,Troubles augmentés de $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Pénurie alimentaire $onOrAt $marché terminé,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. Divers facteurs, notamment un rationnement strict, des mesures anti-émeutes et l'arrivée de plusieurs commerçants indépendants, sont tous reconnus pour avoir mis fin à la pénurie.","Troubles augmentés de $stabilityPenaltyExpire.
Les prix des aliments $onOrAt $market sont revenus à leurs niveaux normaux.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Pénurie alimentaire $onOrAt $marché terminé,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. On attribue à l'arrivée d'une flotte de secours commandée par $playerName la fin de la pénurie, même si un administrateur local n'a pas tardé à souligner sa propre contribution.","Troubles augmentés de $stabilityPenaltyEnd.
Les prix des aliments $onOrAt $market sont revenus à leurs niveaux normaux.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Pénurie alimentaire $onOrAt $marché terminé,"Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. Malheureusement, une grande partie de la distribution de nourriture a été gérée par des éléments criminels, renforçant leur position et portant atteinte aux autorités locales, tant financièrement qu'aux yeux de la population.","Troubles augmentés de $stabilityPenaltyEndBlack.

Les prix des aliments $onOrAt $market sont revenus à leurs niveaux normaux.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Pénurie alimentaire $onOrAt $marché terminé,Le rapport indique que la pénurie alimentaire $onOrAt $market est désormais terminée. L'arrivée opportune d'une flotte de secours commandée par $playerName a permis de mettre fin rapidement à la pénurie et d'atténuer ses effets à long terme.,"Aucune agitation n’augmente $onOrAt $market.

Les prix des aliments $onOrAt $market sont revenus à leurs niveaux normaux.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Enquête sur la contrebande $onOrAt $market,Un message crypté provenant d'un de vos contacts dans le monde souterrain de $market vous avertit que les autorités de $theMarketFaction ont lancé une enquête sur la récente activité de contrebande.,"Si l’enquête révèle que vous êtes impliqué dans la contrebande, $theMarketFaction deviendra inhospitalier à votre égard.

$InvestigatorPost $investigatorName est chargé de mener l'enquête. Vous pourrez peut-être influencer le résultat en contactant $invHimOrHer.

L'enquête durera $durée.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Enquête sur la contrebande $onOrAt $market - validée,"L'enquête sur la contrebande de $marketFaction est terminée et il semble que votre nom ait été blanchi - ou, du moins, qu'il n'y ait aucune preuve concluante pour prouver votre implication.",La relation avec $theMarketFaction n'est pas affectée.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Enquête sur la contrebande $onOrAt $market - validée,"L'enquête sur la contrebande de $marketFaction a été achevée conformément à votre « arrangement spécial » avec $investigatorName, et cette tache particulière sur votre réputation a été effacée.","Le pot-de-vin versé à $InvestigatorPost $investigatorName a été efficace.

La relation avec $theMarketFaction n'est pas affectée.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Enquête sur la contrebande $onOrAt $market - reconnu coupable,L'enquête de $marketFaction a conclu que vous étiez effectivement impliqué dans la récente activité de contrebande.,,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
